"","Distance","Performance","cluster"
"247",-0.299269417051508,-3.49297809461698,1
"248",0.149834166685937,-3.39809857107947,1
"249",-0.419100971197679,-3.40081631783144,1
"250",-0.784053808959551,-3.41292333660114,1
"251",-0.565851921804348,-3.49785313124786,1
"252",-0.645904587443635,-3.43611106429796,1
"253",-0.73928595004744,-3.42401456237988,1
"254",-0.294739442127393,-3.3910306587172,1
"255",-0.860980335925643,-3.56361107620381,1
"256",-0.272410686185567,-3.43276840864376,1
"257",-0.749585975437623,-3.43594581555619,1
"258",-0.645095233281952,-3.41815315546411,1
"259",-0.978449292155497,-3.55310316678506,1
"260",2.4157098551084,-3.08850597931333,3
"261",2.56572471487588,-3.08098848125555,3
"262",-0.437230009092828,-3.49671800478567,1
"263",-0.424538026466991,-3.44987590644638,1
"264",-0.847008724780101,-3.51865811482611,1
"265",2.56967377150361,-3.11563875943349,3
"266",2.65900244036396,-3.19071921082117,0
"267",-0.974274823462375,-3.55737929206892,1
"268",-0.197493405990529,-3.38414758424392,1
"269",-0.566758248122807,-3.4861304644464,1
"270",-0.764560725836095,-3.47529411491389,1
"271",-0.900751759057263,-3.49375767753651,1
"272",2.23854242697688,-3.14130857348444,3
"273",2.45702320368545,-3.0552508495389,3
"274",2.54269609659202,-3.12417972935139,3
"275",-0.338958693093944,-3.47114843711456,1
"276",-0.383962568377079,-3.48824807789842,1
"277",3.0120503378064,-3.12517817490508,3
"278",-0.178371732166895,-3.39815391285855,1
"279",-0.532831032542793,-3.47076697910044,1
"280",2.70146813343443,-3.11209936257917,3
"281",-1.0762478927818,-3.60754895335637,1
"282",2.27420138699963,-3.21557038823716,0
"283",2.60937726452472,-3.12632263310276,3
"284",-0.576668296001675,-3.38603060790547,1
"285",2.03117310381135,-3.23674731734571,0
"286",-0.497879585023074,-3.2777522096737,0
"287",-0.917088038087706,-3.52602220514729,1
"288",-0.525328671409366,-3.39861757275773,1
"289",-0.634405037553123,-3.41207568994181,1
"290",-0.396691801867374,-3.43922967157128,1
"291",-0.648210611305096,-3.48430746187935,1
"292",-0.581356536863483,-3.34879696780432,1
"293",-1.0486199617491,-3.60294873958785,1
"294",2.07978646282724,-3.11005176786155,3
"295",-0.364698119218368,-3.40253048966913,1
